Berichtsdatum;Anzahl COVID-19-Faelle pro Tag;;;;;;;;;;;
26.02.2020;5;;;;;;;;;;;
27.02.2020;5;;;;;;;;;;;
28.02.2020;27;;;;;;;;;;;
29.02.2020;13;;;;;;;;;;;
01.03.2020;51;;;;;;;;;;;
02.03.2020;33;;;;;;;;;;;
03.03.2020;38;;;;;;;;;;;
04.03.2020;52;;;;;;;;;;;
05.03.2020;109;;;;;;;;;;;
06.03.2020;185;;;;;;;;;;;
07.03.2020;150;;;;;;;;;;;
08.03.2020;163;;;;;;;;;;;
09.03.2020;265;;;;;;;;;;;
10.03.2020;184;;;;;;;;;;;
11.03.2020;271;;;;;;;;;;;
12.03.2020;802;;;;;;;;;;;
13.03.2020;693;;;;;;;;;;;
14.03.2020;733;;;;;;;;;;;
15.03.2020;1043;;;;;;;;;;;
16.03.2020;1174;;;;;;;;;;;
17.03.2020;1144;;;;;;;;;;;
18.03.2020;1042;;;;;;;;;;;
19.03.2020;2801;;;;;;;;;;;
20.03.2020;2958;;;;;;;;;;;
21.03.2020;2705;;;;;;;;;;;
22.03.2020;1948;;;;;;;;;;;
23.03.2020;4062;;;;;;;;;;;
24.03.2020;4764;;;;;;;;;;;
25.03.2020;4118;;;;;;;;;;;
26.03.2020;4954;;;;;;;;;;;
27.03.2020;5780;;;;;;;;;;;
28.03.2020;6294;;;;;;;;;;;
29.03.2020;3965;;;;;;;;;;;
30.03.2020;4751;;;;;;;;;;;
31.03.2020;4615;;;;;;;;;;;
01.04.2020;5453;;;;;;;;;;;
02.04.2020;6156;;;;;;;;;;;
03.04.2020;6174;;;;;;;;;;;
04.04.2020;6082;;;;;;;;;;;
05.04.2020;5936;;;;;;;;;;;
06.04.2020;3677;;;;;;;;;;;
07.04.2020;3834;;;;;;;;;;;
08.04.2020;4003;;;;;;;;;;;
09.04.2020;4974;;;;;;;;;;;
10.04.2020;5323;;;;;;;;;;;
11.04.2020;4133;;;;;;;;;;;
12.04.2020;2821;;;;;;;;;;;
13.04.2020;2537;;;;;;;;;;;
14.04.2020;2082;;;;;;;;;;;
15.04.2020;2486;;;;;;;;;;;
16.04.2020;2866;;;;;;;;;;;
17.04.2020;3380;;;;;;;;;;;
18.04.2020;3609;;;;;;;;;;;
19.04.2020;2458;;;;;;;;;;;
20.04.2020;1775;;;;;;;;;;;
21.04.2020;1785;;;;;;;;;;;
22.04.2020;2237;;;;;;;;;;;
23.04.2020;2352;;;;;;;;;;;
24.04.2020;2337;;;;;;;;;;;
25.04.2020;2055;;;;;;;;;;;
26.04.2020;1737;;;;;;;;;;;
27.04.2020;1018;;;;;;;;;;;
28.04.2020;1144;;;;;;;;;;;
