date,time,test,negative,confirmed,released,deceased,daily_cases
20/01/2020,16,1,0,1,0,0,1
21/01/2020,16,1,0,1,0,0,0
22/01/2020,16,4,3,1,0,0,0
23/01/2020,16,22,21,1,0,0,0
24/01/2020,16,27,25,2,0,0,1
25/01/2020,16,27,25,2,0,0,0
26/01/2020,16,51,47,3,0,0,1
27/01/2020,16,61,56,4,0,0,1
28/01/2020,16,116,97,4,0,0,0
29/01/2020,16,187,155,4,0,0,0
30/01/2020,16,246,199,6,0,0,2
31/01/2020,16,312,245,11,0,0,5
1/02/2020,16,371,289,12,0,0,1
2/02/2020,16,429,327,15,0,0,3
3/02/2020,16,490,414,15,0,0,0
4/02/2020,16,607,462,16,0,0,1
5/02/2020,16,714,522,18,1,0,2
6/02/2020,16,885,693,23,2,0,5
7/02/2020,16,1352,1001,24,2,0,1
8/02/2020,16,2097,1134,24,2,0,0
9/02/2020,16,2598,1683,27,3,0,3
10/02/2020,16,3110,2552,27,4,0,0
11/02/2020,16,4325,3535,28,4,0,1
12/02/2020,16,5624,4811,28,7,0,0
13/02/2020,16,6511,5921,28,7,0,0
14/02/2020,16,7242,6679,28,7,0,0
15/02/2020,16,7734,7148,28,9,0,0
16/02/2020,16,8161,7647,29,9,0,1
17/02/2020,16,8718,7980,30,10,0,1
18/02/2020,16,9772,8923,31,12,0,1
19/02/2020,16,11173,9973,51,16,0,20
20/02/2020,16,13202,11238,104,16,1,53
21/02/2020,16,16400,13016,204,17,2,100
22/02/2020,16,21586,15116,433,18,2,229
23/02/2020,16,26179,17520,602,18,6,169
24/02/2020,16,32756,20292,833,24,8,231
25/02/2020,16,40304,25447,977,24,12,144
26/02/2020,16,53553,31576,1261,24,12,284
27/02/2020,16,66652,39318,1766,26,13,505
28/02/2020,16,81167,48593,2337,27,13,571
29/02/2020,16,94055,55723,3150,28,17,813
1/03/2020,16,98921,61825,3736,30,18,586
2/03/2020,0,109591,71580,4212,31,22,476
3/03/2020,0,125851,85484,4812,34,28,600
4/03/2020,0,136707,102965,5328,41,32,516
5/03/2020,0,146541,118965,5766,88,35,438
6/03/2020,0,164740,136624,6284,108,42,518
7/03/2020,0,178189,151802,6767,118,44,483
8/03/2020,0,188518,162008,7134,130,50,367
9/03/2020,0,196618,171778,7382,166,51,248
10/03/2020,0,210144,184179,7513,247,54,131
11/03/2020,0,222395,196100,7755,288,60,242
12/03/2020,0,234998,209402,7869,333,66,114
