date,time,province,confirmed,released,deceased,daily_cases
20/01/2020,16,Seoul,0,0,0,0
20/01/2020,16,Busan,0,0,0,0
20/01/2020,16,Daegu,0,0,0,0
20/01/2020,16,Incheon,1,0,0,1
20/01/2020,16,Gwangju,0,0,0,0
20/01/2020,16,Daejeon,0,0,0,0
20/01/2020,16,Ulsan,0,0,0,0
20/01/2020,16,Sejong,0,0,0,0
20/01/2020,16,Gyeonggi-do,0,0,0,0
20/01/2020,16,Gangwon-do,0,0,0,0
20/01/2020,16,Chungcheongbuk-do,0,0,0,0
20/01/2020,16,Chungcheongnam-do,0,0,0,0
20/01/2020,16,Jeollabuk-do,0,0,0,0
20/01/2020,16,Jeollanam-do,0,0,0,0
20/01/2020,16,Gyeongsangbuk-do,0,0,0,0
20/01/2020,16,Gyeongsangnam-do,0,0,0,0
20/01/2020,16,Jeju-do,0,0,0,0
21/01/2020,16,Seoul,0,0,0,0
21/01/2020,16,Busan,0,0,0,0
21/01/2020,16,Daegu,0,0,0,0
21/01/2020,16,Incheon,1,0,0,0
21/01/2020,16,Gwangju,0,0,0,0
21/01/2020,16,Daejeon,0,0,0,0
21/01/2020,16,Ulsan,0,0,0,0
21/01/2020,16,Sejong,0,0,0,0
21/01/2020,16,Gyeonggi-do,0,0,0,0
21/01/2020,16,Gangwon-do,0,0,0,0
21/01/2020,16,Chungcheongbuk-do,0,0,0,0
21/01/2020,16,Chungcheongnam-do,0,0,0,0
21/01/2020,16,Jeollabuk-do,0,0,0,0
21/01/2020,16,Jeollanam-do,0,0,0,0
21/01/2020,16,Gyeongsangbuk-do,0,0,0,0
21/01/2020,16,Gyeongsangnam-do,0,0,0,0
21/01/2020,16,Jeju-do,0,0,0,0
22/01/2020,16,Seoul,0,0,0,0
22/01/2020,16,Busan,0,0,0,0
22/01/2020,16,Daegu,0,0,0,0
22/01/2020,16,Incheon,1,0,0,0
22/01/2020,16,Gwangju,0,0,0,0
22/01/2020,16,Daejeon,0,0,0,0
22/01/2020,16,Ulsan,0,0,0,0
22/01/2020,16,Sejong,0,0,0,0
22/01/2020,16,Gyeonggi-do,0,0,0,0
22/01/2020,16,Gangwon-do,0,0,0,0
22/01/2020,16,Chungcheongbuk-do,0,0,0,0
22/01/2020,16,Chungcheongnam-do,0,0,0,0
22/01/2020,16,Jeollabuk-do,0,0,0,0
22/01/2020,16,Jeollanam-do,0,0,0,0
22/01/2020,16,Gyeongsangbuk-do,0,0,0,0
22/01/2020,16,Gyeongsangnam-do,0,0,0,0
22/01/2020,16,Jeju-do,0,0,0,0
23/01/2020,16,Seoul,0,0,0,0
23/01/2020,16,Busan,0,0,0,0
23/01/2020,16,Daegu,0,0,0,0
23/01/2020,16,Incheon,1,0,0,0
23/01/2020,16,Gwangju,0,0,0,0
23/01/2020,16,Daejeon,0,0,0,0
23/01/2020,16,Ulsan,0,0,0,0
23/01/2020,16,Sejong,0,0,0,0
23/01/2020,16,Gyeonggi-do,0,0,0,0
23/01/2020,16,Gangwon-do,0,0,0,0
23/01/2020,16,Chungcheongbuk-do,0,0,0,0
23/01/2020,16,Chungcheongnam-do,0,0,0,0
23/01/2020,16,Jeollabuk-do,0,0,0,0
23/01/2020,16,Jeollanam-do,0,0,0,0
23/01/2020,16,Gyeongsangbuk-do,0,0,0,0
23/01/2020,16,Gyeongsangnam-do,0,0,0,0
23/01/2020,16,Jeju-do,0,0,0,0
24/01/2020,16,Seoul,0,0,0,0
24/01/2020,16,Busan,0,0,0,0
24/01/2020,16,Daegu,0,0,0,0
24/01/2020,16,Incheon,1,0,0,0
24/01/2020,16,Gwangju,0,0,0,0
24/01/2020,16,Daejeon,0,0,0,0
24/01/2020,16,Ulsan,0,0,0,0
24/01/2020,16,Sejong,0,0,0,0
24/01/2020,16,Gyeonggi-do,1,0,0,1
24/01/2020,16,Gangwon-do,0,0,0,0
24/01/2020,16,Chungcheongbuk-do,0,0,0,0
24/01/2020,16,Chungcheongnam-do,0,0,0,0
24/01/2020,16,Jeollabuk-do,0,0,0,0
24/01/2020,16,Jeollanam-do,0,0,0,0
24/01/2020,16,Gyeongsangbuk-do,0,0,0,0
24/01/2020,16,Gyeongsangnam-do,0,0,0,0
24/01/2020,16,Jeju-do,0,0,0,0
25/01/2020,16,Seoul,0,0,0,0
25/01/2020,16,Busan,0,0,0,0
25/01/2020,16,Daegu,0,0,0,0
25/01/2020,16,Incheon,1,0,0,0
